Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Australia,66.1,66.6,66.9,67.7,67.5,69.1,69.8,70.6,71.1,71.4,71.5,72.1,72.2,72.3
Austria,62.2,62.9,64.1,64.7,64.5,66,67.6,68.7,69.6,70.6,70.4,70.6,71.4,72.1
Belgium,56.9,54.7,56.5,57.1,58.5,59.8,59.8,60.7,61.1,61.2,62.2,61.4,61.7,62.7
Canada,71,71.4,72.8,74.1,74.3,73.9,74.4,75.3,75.7,75.7,75.8,75.9,76.3,76.7
Chile,40,39.2,39.1,40.7,42.2,43.4,44.6,45.7,48,48.7,53.6,56.2,56.9,57.5
Czech Republic,64.2,63.8,63.4,63.1,62.7,63,62.9,62.1,61.7,62.3,62.4,63.1,64.5,66.2
Denmark,76.3,75.9,76.2,75.9,76.9,76.7,77.6,77.1,77.7,77.5,76.9,77.2,77,76.8
Estonia,67.2,67.5,66.7,67.8,68.1,69.2,71.9,71.4,72.7,72.9,73.3,74.3,74.4,75
Finland,72.3,72.7,73.1,72.4,72.3,73.3,73.9,74.5,74.6,74.2,73.2,73.6,74.5,74.6
France,62.6,62.5,62.8,64.5,64.8,65,65,65.4,65.7,66.3,66.4,66.5,67.2,67.5
Germany,63.7,64.4,64.8,65.1,66.3,67.6,69.3,70.2,70.6,71.3,71.8,72.8,71.7,73.7
Greece,50.5,49.7,51.7,52.9,54.7,55.1,55.7,55.6,55.7,57.2,58.3,58.2,58.9,59
Hungary,52.9,52.6,52.9,54.2,54.3,55.4,55.8,55.5,55.4,55.7,57.1,57.3,58.7,59.2
Iceland,85.7,85.7,84.9,86.7,84.3,85.7,86.4,86.4,85.4,84.7,85.5,85.1,86.3,87.6
Ireland,56.9,57.3,58.1,58.4,59,61.4,62.6,64.2,64,63.6,63.1,63.2,63.1,64.2
Israel,56.9,57.1,57.1,58.1,58.6,59.2,59.6,60.3,60.5,61.7,62.2,62.3,69.1,69.4
Italy,46.8,47.8,48.4,48.8,51,50.7,51.2,51.1,52.1,52.3,52.3,52.7,54.7,54.9
Japan,63.8,64.3,64,64.2,64.5,65.2,66,66.9,67.3,68.2,69.6,68.6,69.3,71.4
Korea,54.9,55.8,56.7,56,57.4,58.1,58.5,58.7,58.7,57.9,58.4,59,59.7,60.3
Luxembourg,52,52.1,53.6,53.7,55.9,57.1,58.3,58.9,58.9,61,60.7,61.2,63.2,63.5
Mexico,42.2,41.5,42.3,41.9,44.3,44.7,46,46.8,47.5,46.8,47.9,47.6,49.5,49.5
Netherlands,65.6,65.7,67.2,66.7,67.5,68.5,69.2,71,72.2,73.1,73.4,73.9,75.2,75.5
New Zealand,68.1,69.1,69.9,70.2,70.7,72,72.8,73.4,73.9,74.2,74.2,75,75.6,76.4
Norway,77.5,77.6,78,77.2,77,76.7,76,77.3,78.9,78.1,77.3,77.6,77.9,78
Poland,61.1,61.1,60,59.5,59.2,59.3,57.6,57.2,57.7,58.5,59.3,59.6,60.5,60.9
Portugal,67.4,68.6,69.5,70.3,70.6,71.7,72.3,73,73,73,73.8,72.7,73.2,72.6
Slovak Republic,63.3,63.8,63.3,63.6,63.1,61.6,61,60.9,61.6,60.8,61.5,61.2,61.9,62.7
Spain,53.2,51.9,54,56,58,59.5,61.4,62.6,64.5,66.1,67.2,68.3,69.3,70.1
Sweden,77.3,78,77.9,77.7,77.4,78.5,78.7,77.9,78.2,77.8,77.5,78.9,79.9,80.7
Switzerland,73.3,74.9,75.6,75.7,75.3,75.6,76.2,76.6,78.5,79,78.2,78.5,79.1,80.2
Turkey,29,29.7,30.5,29.1,26,26,26.3,26.3,27.4,29.1,30.9,32.3,33.1,34.5
United Kingdom,69.8,69.7,70.3,70.2,70.6,70.8,71.5,71,71.5,71.6,71.9,72.2,72.8,73.7
United States,72.7,72.4,72.1,71.9,71.5,71.6,71.7,71.7,72.1,72,71.4,70.9,70.9,70.7
